SrcIP,SrcPort,DstIP,DstPort,Proto,CurrentLength,SumIat,TotalPkts,MinLen,MaxLen,SumLen,MeanLen,Label
10.8.8.134,15685,99.4.177.15,59448,17,0,0,1,60,60,60,3932160,-1
10.8.0.14,45309,173.194.123.23,443,6,4325376,240109962378,21,66,375,2404,7502311,0
10.8.0.10,42737,216.58.219.238,443,6,4325376,182025387018,32,66,1404,6237,12773376,0
10.8.0.6,40273,157.55.56.147,40021,17,0,0,1,79,79,79,5177344,-1
157.55.56.155,40021,10.8.8.130,49539,17,3932160,239208301683,4,60,60,240,3932160,2
207.241.227.188,80,10.8.8.130,59035,6,4325376,22270186491,3237,66,1374,4412046,89325871,0
173.252.79.90,3478,10.8.0.10,50051,6,4325376,177988685800,5,66,170,518,6789529,6
173.194.123.4,443,10.8.0.14,39082,6,3932160,58366008466,19,60,1404,6030,20799056,0
10.8.8.130,33836,207.241.227.212,80,6,4325376,5011934593,342,66,249,24443,4683907,0
10.8.0.10,39742,173.252.79.90,3478,6,4325376,177894576869,8,66,218,732,5996544,6
10.8.8.138,33974,104.156.85.217,443,6,3932160,19003169529,8,60,583,1092,8945664,5
23.63.99.210,443,10.8.8.178,43065,6,7798784,115987086099,57,66,1374,50771,58374179,0
10.8.8.222,52369,224.0.0.252,5355,17,4194304,414737860,2,64,64,128,4194304,6
10.8.8.138,58786,209.148.205.16,80,6,4325376,257783720628,8,66,66,528,4325376,5
10.8.8.138,44283,204.236.238.164,1981,6,3932160,2441094513,197,60,1374,253719,84404712,0
209.148.205.26,443,10.8.0.10,34031,6,4325376,332113592,10,66,1404,4378,28691660,0
10.8.8.130,49539,197.48.178.148,12469,17,0,0,1,60,60,60,3932160,-1
10.8.0.14,39997,216.58.219.238,443,6,7340032,74696157039,48,66,1404,29775,40652800,0
10.8.8.130,47765,207.241.237.128,80,6,4325376,7396369653,248,66,289,17589,4648035,0
64.233.184.16,465,10.8.8.110,37418,6,3932160,2425285052,20,60,304,2193,7186022,0
10.8.0.10,36307,91.189.89.106,80,6,4325376,278333075,5,66,263,535,7012352,0
131.202.6.26,13000,10.8.8.246,29910,6,3932160,1776120120,14,60,1374,6620,30989165,5
10.8.8.130,43533,207.241.236.176,80,6,4325376,8730314409,610,66,254,41604,4469770,0
10.8.0.6,40273,213.199.179.159,40004,17,4784128,2697312064841,2,73,73,146,4784128,6
10.8.8.246,57243,224.0.0.252,5355,17,4194304,414842525,2,64,64,128,4194304,6
10.8.8.134,15685,177.129.50.24,13889,17,0,0,1,60,60,60,3932160,-1
10.8.0.6,40273,72.39.249.200,18990,17,4128768,39285018256,3,63,63,189,4128768,6
74.125.226.21,443,10.8.0.14,44109,6,3932160,59175332197,18,60,1188,2965,10795235,0
173.194.123.11,443,10.8.0.10,56713,6,3932160,224233334615,30,60,1404,11710,25580885,0
10.8.8.130,34698,88.166.212.83,30735,6,4325376,76531744711,20,66,148,1672,5478809,6
207.241.224.2,443,10.8.8.130,51278,6,3932160,5895474687,44,60,1374,44574,66390946,0
64.4.23.159,40032,10.8.0.6,40273,17,25427968,7796,2,388,1397,1785,58490880,6
10.8.8.130,59101,207.241.227.188,80,6,4325376,20246116679,834,66,296,59214,4653056,0
173.194.67.16,465,10.8.8.234,37828,6,3932160,3307326399,21,60,302,2263,7062284,0
10.8.8.246,64181,224.0.0.252,5355,17,4194304,414466072,2,64,64,128,4194304,6
10.8.8.130,33847,207.241.227.212,80,6,4325376,26807051963,1363,66,255,95771,4604877,0
10.8.8.134,15685,70.100.90.44,14783,17,4194304,1036072697348,8,64,64,512,4194304,2
10.8.0.10,56330,173.194.123.28,443,6,4325376,177008526975,21,66,630,2591,8085894,0
10.8.0.10,55129,173.252.79.94,443,6,4325376,3472009564213,14,66,218,1560,7302582,0
10.8.0.10,53244,173.252.79.94,443,6,4325376,3472005483288,14,66,218,1560,7302582,0
173.252.79.90,3478,10.8.0.10,33815,6,4325376,12404294637,5,66,170,518,6789529,6
81.105.201.97,21981,10.8.8.130,49539,17,0,0,1,68,68,68,4456448,-1
10.8.0.10,34823,74.125.226.5,80,6,4325376,5603750518,4,66,74,272,4456448,0
10.8.8.138,49850,23.235.44.143,443,6,4325376,18538479230,4,66,66,264,4325376,5
10.8.8.222,51634,224.0.0.252,5355,17,4194304,415810337,2,64,64,128,4194304,6
65.55.223.22,40017,10.8.0.6,40273,17,0,0,1,1339,1339,1339,87752704,-1
10.8.8.130,49539,111.221.77.173,40006,17,0,0,1,60,60,60,3932160,-1
189.124.16.250,64528,10.8.8.130,51413,17,0,0,1,342,342,342,22413312,-1
10.8.8.246,64685,224.0.0.252,5355,17,4194304,413143429,2,64,64,128,4194304,6
204.236.238.164,1362,10.8.8.138,53881,6,4325376,5818009227,973,66,1374,68452,4610555,0
107.22.243.234,443,10.8.8.138,35936,6,3932160,429442679735,277,60,1374,106984,25311564,5
10.8.8.246,58478,224.0.0.252,5355,17,4194304,412470145,2,64,64,128,4194304,6
10.8.8.246,63189,224.0.0.252,5355,17,4194304,411491166,2,64,64,128,4194304,6
173.252.79.90,3478,10.8.0.10,46393,6,4325376,178182828365,5,66,170,518,6789529,6
10.8.8.130,49539,176.78.59.135,41514,17,0,0,1,60,60,60,3932160,-1
10.8.8.246,53843,224.0.0.252,5355,17,4194304,414164494,2,64,64,128,4194304,6
10.8.8.130,51413,46.191.187.169,51218,17,0,0,1,139,139,139,9109504,-1
10.8.8.222,60624,224.0.0.252,5355,17,4194304,412840619,2,64,64,128,4194304,6
173.194.207.188,5228,10.8.0.14,57281,6,4325376,3405184383050,78,66,99,5214,4380829,2
10.8.8.138,48603,74.125.226.46,443,17,5373952,12210358669,21,82,1392,14716,45925132,5
138.75.239.78,32716,10.8.8.134,15685,17,0,0,1,68,68,68,4456448,-1
216.58.210.46,443,10.8.8.178,39780,6,4325376,2781357825,13,66,1374,5157,25997627,0
10.8.8.130,49539,212.28.84.207,52001,17,0,0,1,60,60,60,3932160,-1
23.235.40.143,443,10.8.8.138,39902,6,4849664,1107329003,2,74,74,148,4849664,5
204.236.238.164,1291,10.8.8.138,43679,6,3932160,979382426,12,60,1374,6059,33090218,2
10.8.8.130,59732,207.241.228.122,80,6,4325376,3478845608,332,66,277,25654,5064037,0
10.8.8.246,54801,224.0.0.252,5355,17,4194304,416201042,2,64,64,128,4194304,6
10.8.8.246,62046,224.0.0.252,5355,17,4194304,418066810,2,64,64,128,4194304,6
23.21.207.234,443,10.8.8.138,46959,6,4325376,71464619052,21,66,1374,8871,27684278,0
10.8.0.10,36713,173.194.123.7,443,6,4325376,176813511423,29,66,692,4513,10198757,0
10.8.8.222,49175,224.0.0.252,5355,17,4194304,411834689,2,64,64,128,4194304,6
157.55.130.140,40014,10.8.0.6,40273,17,32243712,2766985346207,8,110,505,3632,29753344,6
36.235.251.42,6881,10.8.8.130,51413,17,0,0,1,342,342,342,22413312,-1
74.125.226.57,443,10.8.8.138,46417,6,4325376,59139402588,5,66,129,393,5151129,5
10.8.8.138,42637,173.223.153.85,80,6,4325376,308796503110,105,66,1374,10132,6323911,0
157.56.52.16,40022,10.8.0.6,40273,17,0,0,1,62,62,62,4063232,-1
10.8.8.110,37441,64.233.184.16,465,6,4325376,2371428228,16,66,583,2426,9936896,0
207.241.236.176,80,10.8.8.130,43519,6,3932160,5077520509,810,60,1374,1102819,89227587,0
10.8.8.234,37817,173.194.67.16,465,6,4325376,3210625198,16,66,909,2837,11620352,3
10.8.8.130,46923,239.255.255.250,1900,17,11403264,188276,2,174,175,349,11436032,2
74.125.226.8,443,10.8.0.14,50030,6,3932160,102550807968,30,60,1404,7579,16556578,0
10.8.0.10,56381,173.194.123.28,443,6,4325376,177001507407,21,66,735,2696,8413574,0
10.8.8.130,44990,216.58.210.5,443,6,4325376,76132899447,19,66,1374,3975,13710821,0
209.148.205.35,443,10.8.8.138,42191,6,4325376,10213859941,2,66,74,140,4587520,5
10.8.8.130,51413,67.215.246.10,6881,17,0,0,1,139,139,139,9109504,-1
63.245.217.113,443,10.8.8.178,38086,6,4325376,6042983228,7,66,1374,3162,29603547,0
10.8.8.138,56647,208.117.251.116,443,6,4325376,47665354083,1098,66,1374,78283,4672454,0
93.184.220.29,80,10.8.8.110,39922,6,4325376,5474378011,2,66,74,140,4587520,0
213.199.179.176,40018,10.8.0.10,18420,17,0,0,1,60,60,60,3932160,-1
10.8.0.10,36050,173.252.79.90,50015,17,12713984,87604028,2,86,194,280,9175040,6
10.8.8.178,37109,23.63.99.218,443,6,3932160,5299345160,7,60,135,641,6001225,0
10.8.8.130,47711,207.241.237.128,80,6,4325376,13489877504,1210,66,296,85639,4638378,0
23.9.123.27,80,10.8.8.138,46320,6,4325376,83549342578,3,66,66,198,4325376,5
10.8.8.138,57836,209.148.205.41,80,6,4325376,302804390707,49,66,496,3672,4911187,0
173.252.79.90,3478,10.8.0.10,39742,6,4325376,177699669423,5,66,170,518,6789529,6
207.241.227.188,80,10.8.8.130,59144,6,4325376,23253278394,3602,66,1374,4927098,89645278,0
10.8.0.6,40273,111.221.74.34,40026,17,0,0,1,74,74,74,4849664,-1
173.252.79.90,443,10.8.0.10,46976,6,4325376,177883931599,5,66,170,518,6789529,6
10.8.8.246,64159,224.0.0.252,5355,17,4194304,414000761,2,64,64,128,4194304,6
178.206.104.159,58470,10.8.8.130,49539,17,0,0,1,68,68,68,4456448,-1
10.8.8.246,63676,224.0.0.252,5355,17,4194304,413736541,2,64,64,128,4194304,6
173.194.67.16,465,10.8.8.234,37826,6,3932160,3241026116,20,60,302,2191,7179468,0
10.8.0.6,40273,157.55.130.176,40017,17,4980736,3318954118694,2,76,76,152,4980736,6
69.171.255.36,3478,10.8.0.10,47421,17,0,0,1,74,74,74,4849664,-1
10.8.8.130,51413,95.211.168.89,6881,17,0,0,1,100,100,100,6553600,-1
10.8.8.134,15685,70.20.28.143,4395,17,37093376,1448633628939,17,63,566,5573,21484242,2
74.125.226.40,443,10.8.8.138,53305,6,4325376,240623010251,16,66,216,1413,5787648,5
207.241.236.176,80,10.8.8.130,43559,6,4325376,6215131364,406,66,1374,551489,89020648,0
10.8.8.130,49539,41.242.35.131,26510,17,0,0,1,60,60,60,3932160,-1
10.8.0.6,35990,199.16.156.201,443,6,3932160,855044245251,24,60,66,1572,4292608,2
10.8.8.130,49539,10.8.8.134,15685,17,4587520,3548263698585,431,70,70,30170,4587520,2
10.8.8.178,43066,23.63.99.210,443,6,3932160,115788571843,30,60,631,3186,6959923,0
10.8.8.222,58715,224.0.0.252,5355,17,4194304,416523460,2,64,64,128,4194304,6
10.8.8.134,15685,110.175.124.54,15989,17,0,0,1,60,60,60,3932160,-1
216.58.221.142,443,10.8.8.138,48900,6,4325376,10425544092,3,66,74,206,4500138,5
64.233.184.16,465,10.8.8.110,37413,6,3932160,2378800252,19,60,304,2133,7357278,0
10.8.8.134,15685,121.45.207.120,42208,17,0,0,1,60,60,60,3932160,-1
10.8.0.6,40273,107.217.116.42,49370,17,0,0,1,60,60,60,3932160,-1
10.8.8.138,43355,74.125.226.35,443,17,5373952,485940424,5,82,1392,4040,52953088,5
216.58.210.5,443,10.8.8.130,44992,6,3932160,58935462995,18,60,987,2760,10048853,0
74.125.226.63,443,10.8.8.138,57042,6,4325376,240618069725,20,66,1374,5717,18733465,0
10.8.8.222,52776,224.0.0.252,5355,17,4194304,415292318,2,64,64,128,4194304,6
10.8.8.222,60354,224.0.0.252,5355,17,4194304,417152821,2,64,64,128,4194304,6
173.194.123.5,443,10.8.0.14,53935,6,3932160,37855090,5,60,126,372,4875878,0
74.125.226.39,443,10.8.8.138,37934,17,0,0,1,1392,1392,1392,91226112,-1
74.125.226.47,443,10.8.8.138,45269,6,4325376,194761673595,8,66,129,591,4841472,0
204.236.238.164,1583,10.8.8.138,41747,6,4325376,3801082987,446,66,1374,33670,4947527,0
70.245.66.95,56106,10.8.8.134,38035,6,4325376,62772809403,82,66,166,5640,4507598,2
10.8.8.222,65138,224.0.0.252,5355,17,4194304,411732320,2,64,64,128,4194304,6
10.8.8.130,51413,67.186.207.92,50321,17,9109504,38660239450,3,139,139,417,9109504,4
74.125.226.68,443,10.8.8.138,43719,6,4325376,10214393867,2,66,74,140,4587520,5
10.8.8.138,37776,216.58.219.205,443,6,4325376,136277256629,14,66,583,1683,7878363,0
64.233.184.16,465,10.8.8.110,37441,6,3932160,2372364052,20,60,304,2193,7186022,0
10.8.8.130,33851,207.241.227.212,80,6,4325376,6253449327,275,66,249,18713,4459546,0
10.8.0.6,40273,213.199.179.162,40031,17,0,0,1,76,76,76,4980736,-1
170.155.148.1,123,10.8.8.246,17056,17,0,0,1,90,90,90,5898240,-1
10.8.8.130,47776,207.241.237.128,80,6,4325376,6681944987,478,66,289,33809,4635369,0
10.8.0.10,42526,173.194.123.6,443,6,4325376,479828942,52,66,1404,57505,72473993,0
216.58.208.35,443,10.8.8.178,52205,6,3932160,59316121258,13,60,212,1190,5999064,0
65.55.223.16,40022,10.8.0.6,40273,17,0,0,1,62,62,62,4063232,-1
10.8.8.222,54713,224.0.0.252,5355,17,4194304,412386642,2,64,64,128,4194304,6
10.8.8.138,41264,209.148.205.32,80,6,4325376,127678442463,5,66,66,330,4325376,5
10.8.0.6,40273,157.56.52.41,40025,17,0,0,1,75,75,75,4915200,-1
10.8.8.234,37853,173.194.67.16,465,6,4325376,2788756798,15,66,907,2801,12237755,0
74.125.207.120,443,10.8.8.130,37814,6,3932160,254533163,5,60,126,372,4875878,0
111.221.77.173,40006,10.8.8.130,49539,17,0,0,1,68,68,68,4456448,-1
74.125.226.21,443,10.8.0.14,43996,6,3932160,59030408086,18,60,1062,2839,10336483,0
10.8.8.134,15685,111.240.156.174,14039,17,0,0,1,60,60,60,3932160,-1
10.8.8.138,45325,74.125.226.47,443,6,4325376,240656793484,16,66,583,1951,7991296,0
208.117.251.116,443,10.8.8.138,56627,6,4325376,10422931773,5,66,203,475,6225920,5
178.237.18.202,443,10.8.8.130,34342,6,18415616,20071518228494,1832,60,877,273393,9780067,0
212.184.129.160,34486,10.8.8.130,49539,17,0,0,1,68,68,68,4456448,-1
212.129.33.50,6881,10.8.8.130,51413,17,6553600,143304796717,4,100,319,619,10141696,4
10.8.8.138,54472,75.101.155.12,21,6,4325376,9380814922,26,66,343,4281,10790754,0
157.56.192.53,443,10.8.8.130,33104,6,10944512,979123861356,447,66,807,142001,20819189,0
157.55.130.168,40019,10.8.8.134,15685,17,31784960,1032856082430,4,485,485,1940,31784960,2
173.194.123.22,443,10.8.0.10,33311,6,3932160,177025230709,20,60,853,2872,9410969,0
10.8.8.134,15685,73.25.184.121,58698,17,4194304,1447675445232,5,64,64,320,4194304,2
111.221.74.38,40024,10.8.0.6,40273,17,0,0,1,62,62,62,4063232,-1
204.236.238.164,1602,10.8.8.138,57961,6,4325376,2573334677,190,66,1374,17918,6180389,0
10.8.0.10,42747,216.58.219.238,443,6,4325376,176825966081,22,66,1404,4460,13285934,0
10.8.8.130,38639,82.28.221.2,17920,6,4325376,62115236852,44,66,587,6079,9054394,2
10.8.0.6,40273,213.199.179.149,40024,17,4980736,1483832622073,2,76,76,152,4980736,6
10.8.8.130,49539,81.62.51.49,32990,17,0,0,1,60,60,60,3932160,-1
10.8.8.246,56330,224.0.0.252,5355,17,4194304,419316064,2,64,64,128,4194304,6
111.221.77.153,40033,10.8.8.134,15685,17,9175040,3519332670160,124,140,485,18740,9904392,6
157.55.130.175,40025,10.8.0.6,40273,17,0,0,1,504,504,504,33030144,-1
131.202.240.150,46647,74.125.226.58,443,6,4325376,29282835671,2,66,66,132,4325376,5
157.55.235.166,40030,10.8.0.6,40273,17,0,0,1,62,62,62,4063232,-1
131.130.27.211,443,10.8.8.130,42754,6,0,0,1,60,60,60,3932160,-1
10.8.8.134,15685,182.172.17.21,27522,17,0,0,1,60,60,60,3932160,-1
10.8.8.246,58669,224.0.0.252,5355,17,4194304,414738926,2,64,64,128,4194304,6
10.8.0.10,33761,173.194.123.4,443,6,4325376,176565420343,30,66,692,4579,10002978,0
10.8.8.246,62641,224.0.0.252,5355,17,4194304,415146158,2,64,64,128,4194304,6
174.4.162.172,57397,10.8.0.6,40273,17,4194304,39355668047,3,64,64,192,4194304,6
173.194.67.16,465,10.8.8.234,37851,6,3932160,3052700869,19,60,302,2125,7329684,0
74.125.226.32,443,10.8.8.138,33832,6,4325376,563246331794,55,66,1374,23539,28048216,5
10.8.8.134,15685,71.94.76.197,47302,17,4128768,52115665158,4,63,63,252,4128768,2
10.8.8.222,53075,77.72.169.133,11113,17,3932160,3345065764205,43,60,163,4596,7004731,6
10.8.0.6,47364,132.235.106.83,24829,6,4325376,1081605924,12,66,125,909,4964352,6
23.235.44.143,443,10.8.8.138,49925,6,4325376,16315532535,4,66,97,295,4833280,5
175.154.79.92,6881,10.8.8.130,51413,17,0,0,1,354,354,354,23199744,-1
10.8.0.6,40273,213.199.179.165,40022,17,0,0,1,77,77,77,5046272,-1
111.221.74.46,40001,10.8.0.6,40273,17,0,0,1,62,62,62,4063232,-1
10.8.0.6,40273,157.55.56.159,40005,17,0,0,1,76,76,76,4980736,-1
10.8.8.222,50577,224.0.0.252,5355,17,4194304,414173367,2,64,64,128,4194304,6
10.8.8.130,43476,207.241.236.176,80,6,4325376,4495790756,251,66,320,18413,4807626,0
10.8.0.14,53751,216.58.219.229,443,6,4325376,58662783774,18,66,1404,3938,14337820,0
107.22.243.234,80,10.8.8.138,49970,6,4325376,69642539465,24,66,1374,15925,43485866,0
23.67.255.209,443,10.8.8.178,39272,6,4325376,59672078753,9,66,119,647,4711310,0
111.221.74.31,40033,10.8.8.178,15685,17,3932160,4371766463180,5,60,913,2059,26987724,1
208.117.251.116,443,10.8.8.138,56563,6,4325376,10416772700,5,66,203,475,6225920,5
173.252.79.90,443,10.8.0.10,36036,6,4325376,12368460084,5,66,170,518,6789529,0
10.8.8.130,43493,207.241.236.176,80,6,4325376,4134016169,388,66,255,27365,4622145,0
10.8.0.10,37169,173.252.79.90,50015,17,0,0,1,86,86,86,5636096,-1
10.8.0.10,55665,173.252.79.90,443,6,4325376,177931836927,8,66,218,732,5996544,6
10.8.8.130,43530,207.241.236.176,80,6,4325376,30071581648,1938,66,255,134176,4537336,0
10.8.8.178,15685,157.55.130.162,40014,17,0,0,1,76,76,76,4980736,-1
157.56.52.19,40017,10.8.0.6,40273,17,0,0,1,62,62,62,4063232,-1
10.8.8.246,49381,224.0.0.252,5355,17,4194304,414056440,2,64,64,128,4194304,6
213.199.179.147,40003,10.8.0.6,40273,17,4128768,3220135475116,7,63,63,441,4128768,6
81.137.205.196,23528,10.8.8.130,48826,6,4325376,10784140909,11,66,125,885,5272669,2
10.8.8.130,51413,119.202.218.191,6881,17,0,0,1,139,139,139,9109504,-1
173.194.123.9,443,10.8.0.10,38602,6,4325376,27057016943604,59,60,1404,9999,11106685,6
54.230.52.98,80,10.8.0.6,60199,6,4325376,81349899794,4,66,66,264,4325376,0
10.8.8.130,59139,207.241.227.188,80,6,4325376,34811921622,2037,66,289,140474,4519442,0
24.121.103.220,43206,10.8.8.134,15685,17,4194304,41711764240,4,64,64,256,4194304,2
10.8.8.246,55399,224.0.0.252,5355,17,4194304,413904645,2,64,64,128,4194304,6
129.98.43.99,24011,10.8.8.130,56596,6,4325376,259295502696,434,66,1374,121004,18272161,0
10.8.8.178,39276,23.67.255.209,443,6,3932160,4485757319,7,60,119,491,4596882,0
10.8.8.138,38431,192.0.80.241,443,6,4325376,89457158858,4,66,66,264,4325376,5
10.8.8.134,57666,71.94.76.197,47302,6,3932160,293752116,2,60,74,134,4390912,2
73.45.157.98,36950,10.8.8.134,50838,6,4325376,62792394684,135,66,166,9129,4431689,2
10.8.0.6,40273,111.221.77.165,40028,17,0,0,1,75,75,75,4915200,-1
10.8.8.130,49539,81.110.249.73,21424,17,0,0,1,60,60,60,3932160,-1
10.8.8.130,49539,193.151.119.166,61917,17,0,0,1,60,60,60,3932160,-1
85.230.176.179,51351,10.8.8.130,51413,17,0,0,1,361,361,361,23658496,-1
207.241.237.128,80,10.8.8.130,47755,6,4325376,47943014159,5740,66,1374,7850600,89633610,5
23.194.214.46,443,10.8.8.130,35857,6,4325376,42485478563,9,66,1374,3854,28063971,0
10.8.8.130,55598,91.190.216.17,33033,6,3932160,10661624356,8,60,526,1050,8601600,2
54.240.190.206,443,10.8.8.138,55583,6,4325376,1627188715,3,66,97,229,5002581,5
10.8.8.246,62902,224.0.0.252,5355,17,4194304,414608620,2,64,64,128,4194304,6
10.8.8.246,58127,224.0.0.252,5355,17,4194304,411969903,2,64,64,128,4194304,6
10.8.8.138,57488,54.204.30.249,443,6,4325376,194628060269,92,66,1374,92444,65852282,5
90.156.117.179,12548,10.8.8.130,51413,17,0,0,1,112,112,112,7340032,-1
10.8.8.178,56909,157.56.52.13,40011,6,4587520,37813844165166,151,66,486,17853,7748438,2
10.8.8.138,42711,173.223.153.85,80,6,4325376,18451086211,4,66,74,272,4456448,5
10.8.0.6,47550,173.194.123.122,80,6,4325376,199591712777,8,66,66,528,4325376,0
173.194.123.3,443,10.8.0.10,40552,6,4325376,158786107,9,66,1404,4865,35425848,0
10.8.8.134,15685,24.36.174.173,47044,17,3932160,278914871436,46,60,561,9875,14068869,0
10.8.0.10,34992,173.252.79.90,50015,17,12713984,87794656,2,86,194,280,9175040,6
204.236.238.164,1516,10.8.8.138,40594,6,4325376,2367964228,153,66,1374,14332,6138967,0
69.171.255.36,3478,10.8.0.10,60169,17,0,0,1,74,74,74,4849664,-1
10.8.8.246,54904,224.0.0.252,5355,17,4194304,414009477,2,64,64,128,4194304,6
10.8.8.138,51828,74.125.226.38,443,6,4325376,2255175594472,18,66,328,1855,6753848,0
10.8.8.130,49539,67.84.44.168,61572,17,0,0,1,60,60,60,3932160,-1
10.8.8.246,62835,224.0.0.252,5355,17,4194304,414317393,2,64,64,128,4194304,6
10.8.8.138,56558,208.117.251.116,443,6,4325376,10670043738,7,66,583,1038,9718052,5
74.125.226.33,443,10.8.8.138,58188,6,3932160,17441841264,3,60,74,200,4369066,5
10.8.8.130,47755,207.241.237.128,80,6,4325376,47965287492,2911,66,296,203310,4577163,0
10.8.8.246,56130,224.0.0.252,5355,17,4194304,414161438,2,64,64,128,4194304,6
173.252.110.27,443,10.8.0.10,35730,6,4325376,12735482977,15,66,1404,6620,28923221,0
68.180.110.66,12732,10.8.0.6,40273,17,4194304,39072379485,3,64,64,192,4194304,6
10.8.0.10,58241,173.194.76.127,19305,17,10616832,2911845638762,3003,162,162,486486,10616832,5
116.91.118.97,123,10.8.8.222,13461,17,0,0,1,90,90,90,5898240,-1
157.55.235.155,40033,10.8.0.6,40273,17,4063232,2650296237386,2,62,62,124,4063232,6
176.194.241.237,6274,10.8.8.130,49539,17,0,0,1,68,68,68,4456448,-1
10.8.8.138,44795,74.125.226.40,443,17,5373952,479052538,4,82,1392,3309,54214656,5
64.4.23.169,40027,10.8.0.6,40273,17,4063232,3206754951836,2,62,62,124,4063232,6
10.8.8.130,60563,216.58.210.1,443,6,4325376,58993449632,66,66,1181,8413,8353854,0
91.189.89.31,80,10.8.0.10,59071,6,4325376,5138848834,5,66,1404,2381,31208243,0
114.17.239.21,35187,10.8.8.134,15685,17,0,0,1,68,68,68,4456448,-1
157.55.235.146,40006,10.8.0.6,40273,17,0,0,1,62,62,62,4063232,-1
10.8.8.138,51424,74.125.226.37,443,17,5177344,107245007,2,79,1392,1471,48201728,5
10.8.8.138,54813,74.125.226.37,443,17,5177344,205531833,2,79,1392,1471,48201728,5
23.63.99.210,443,10.8.8.178,43063,6,4325376,116199238691,89,66,1374,92535,68139031,0
10.8.8.178,49841,63.245.216.134,443,6,3932160,1619347310,16,60,779,2285,9359360,0
23.52.152.64,443,10.8.8.138,51240,6,4325376,81403004605,4,66,119,317,5193728,5
10.8.8.138,58762,209.148.205.16,80,6,4325376,211888765822,7,66,66,462,4325376,5
10.8.8.134,15685,46.17.57.54,4956,17,4587520,576674489846,105,70,70,7350,4587520,2
10.8.8.138,54186,74.125.226.37,443,6,4325376,10427608789,4,66,74,272,4456448,5
216.58.219.237,443,10.8.0.14,33215,6,4325376,90243666554,14,66,477,2115,9900617,0
10.8.8.246,138,10.8.8.247,138,17,16449536,2998528274840,9,243,251,2219,16158264,6
10.8.8.138,38001,74.125.226.56,443,6,4325376,240639772884,19,66,328,1910,6588092,0
10.8.8.134,15685,153.215.96.141,58080,17,0,0,1,60,60,60,3932160,-1
10.8.8.234,56293,93.184.220.29,80,6,4325376,5580092367,4,66,74,272,4456448,0
10.8.8.234,38620,63.245.216.134,443,6,3932160,1447574806,12,60,651,1896,10354688,0
204.236.238.164,1759,10.8.8.138,54426,6,3932160,4460708332,1059,60,1374,1444071,89366040,0
10.8.8.138,47056,204.236.238.164,1265,6,4325376,1053759923,12,66,173,1190,6498986,2
10.8.8.246,58489,224.0.0.252,5355,17,4194304,411721639,2,64,64,128,4194304,6
10.8.8.222,55172,224.0.0.252,5355,17,4194304,414057348,2,64,64,128,4194304,6
111.221.77.141,40007,10.8.0.6,40273,17,0,0,1,62,62,62,4063232,-1
173.194.123.103,443,10.8.0.6,43623,6,4325376,240336755641,23,66,1404,6114,17421178,0
