SrcIP,SrcPort,DstIP,DstPort,Proto,CurrentLength,TotalPkts,MinLen,MaxLen,SumLen,MeanLen,Label
70.127.180.169,0,10.8.8.130,0,1,10944512,3,167,167,501,10944512,4
10.8.8.130,59341,23.101.70.72,443,6,4325376,14,66,631,2146,10045732,0
183.176.154.105,53861,10.8.8.134,15685,17,0,1,68,68,68,4456448,-1
62.220.51.222,10000,10.8.8.130,49539,17,0,1,68,68,68,4456448,-1
10.8.8.246,52792,224.0.0.252,5355,17,4194304,2,64,64,128,4194304,6
10.8.0.10,46976,173.252.79.90,443,6,4325376,8,66,218,732,5996544,0
216.58.208.35,443,10.8.8.178,52204,6,3932160,13,60,212,1190,5999064,0
173.194.123.7,80,10.8.0.10,38355,6,4325376,23,66,847,6993,19925793,0
10.8.8.138,47471,74.125.226.38,443,17,5177344,2,79,1392,1471,48201728,5
204.236.238.164,1942,10.8.8.138,36949,6,3932160,12,60,1374,6075,33177600,2
10.8.8.130,34777,88.166.212.83,30735,6,4325376,112,66,593,25003,14630326,0
10.8.8.138,56600,208.117.251.116,443,6,4325376,7,66,583,1038,9718052,5
10.8.8.130,43486,207.241.236.176,80,6,4325376,1266,66,253,88743,4593887,0
10.8.8.246,60023,224.0.0.252,5355,17,4194304,2,64,64,128,4194304,6
10.8.0.10,38355,173.194.123.7,80,6,4325376,32,66,503,5616,11501568,0
10.8.0.14,39964,216.58.219.238,443,6,4325376,21,66,1404,5661,17666633,0
10.8.8.222,62291,224.0.0.252,5355,17,4194304,2,64,64,128,4194304,6
10.8.8.138,33588,74.125.226.63,443,17,5177344,4,79,1392,1921,31473664,5
10.8.8.130,51413,116.122.187.233,33215,17,9109504,2,139,139,278,9109504,4
10.8.8.222,55523,224.0.0.252,5355,17,4194304,2,64,64,128,4194304,6
213.199.179.151,40013,10.8.0.6,40273,17,0,1,928,928,928,60817408,-1
10.8.8.130,49539,81.53.48.214,50260,17,0,1,60,60,60,3932160,-1
74.125.226.40,443,10.8.0.14,42782,6,3932160,19,60,1404,6368,21964907,0
109.185.171.225,36791,10.8.0.10,18420,17,0,1,68,68,68,4456448,-1
74.125.29.95,443,10.8.8.138,39514,6,4325376,6,66,129,459,5013504,5
10.8.8.234,37851,173.194.67.16,465,6,4325376,14,66,910,2706,12667172,0
10.8.8.178,59245,216.58.210.35,443,6,4325376,13,66,583,1752,8832236,0
10.8.8.130,49539,154.120.93.25,21356,17,0,1,60,60,60,3932160,-1
10.8.0.10,35335,173.194.123.15,443,6,3932160,15,60,265,1403,6129800,0
173.194.123.122,80,10.8.0.6,47550,6,3932160,7,60,66,456,4269202,0
10.8.8.222,64763,224.0.0.252,5355,17,4194304,2,64,64,128,4194304,6
10.8.8.222,58048,224.0.0.252,5355,17,4194304,2,64,64,128,4194304,6
216.58.210.35,443,10.8.8.178,59252,6,3932160,248,60,1374,317911,84010545,5
77.99.242.31,8710,10.8.8.130,49539,17,0,1,68,68,68,4456448,-1
74.125.22.157,443,10.8.0.6,50252,6,4325376,8,66,129,591,4841472,0
10.8.8.246,63395,224.0.0.252,5355,17,4194304,2,64,64,128,4194304,6
10.8.0.6,40273,111.221.74.18,40006,17,0,1,76,76,76,4980736,-1
216.58.210.46,80,10.8.8.178,59906,6,4325376,2,66,74,140,4587520,5
10.8.8.178,51920,216.58.208.37,443,6,4325376,145,66,1374,20814,9407353,0
74.125.226.32,443,10.8.0.10,49541,6,3932160,22,60,1404,6698,19952733,0
86.201.229.57,6881,10.8.8.130,51413,17,0,1,342,342,342,22413312,-1
10.8.8.246,54440,224.0.0.252,5355,17,4194304,2,64,64,128,4194304,6
207.241.237.128,80,10.8.8.130,47697,6,3932160,3859,60,1374,5270957,89514754,5
10.8.0.10,46101,173.252.79.90,443,6,4325376,8,66,218,732,5996544,0
23.67.255.209,443,10.8.8.178,39285,6,4325376,3,66,119,251,5483178,5
10.8.8.130,49539,81.110.249.73,21424,17,0,1,60,60,60,3932160,-1
10.8.8.134,15685,153.136.169.144,13185,17,0,1,60,60,60,3932160,-1
216.58.210.5,443,10.8.8.130,44976,6,3932160,58,60,1354,32972,37256086,0
10.8.8.246,61525,224.0.0.252,5355,17,4194304,2,64,64,128,4194304,6
10.8.0.6,48608,68.180.110.66,12732,6,4325376,12,66,116,920,5024426,6
10.8.8.246,63490,224.0.0.252,5355,17,4194304,2,64,64,128,4194304,6
10.8.0.6,47313,23.23.138.128,443,6,4325376,4,66,66,264,4325376,5
157.55.56.141,40007,10.8.0.6,40273,17,4063232,2,62,62,124,4063232,6
216.58.219.229,443,10.8.0.14,53756,6,3932160,18,60,1073,2850,10376533,0
10.8.0.10,37740,173.252.79.90,443,6,4325376,8,66,218,732,5996544,0
10.8.0.10,51013,69.171.255.36,3478,17,0,1,70,70,70,4587520,-1
10.8.8.138,46318,23.9.123.27,80,6,4325376,4,66,66,264,4325376,5
69.181.136.22,57191,10.8.8.134,15685,17,4194304,371,60,571,45180,7980906,2
10.8.8.246,29948,131.202.6.26,13000,6,3932160,14,60,1374,6436,30127835,5
10.8.0.6,40273,160.94.74.81,43826,17,0,1,60,60,60,3932160,-1
10.8.8.130,51413,116.14.171.4,6881,17,0,1,139,139,139,9109504,-1
10.8.8.138,39891,23.235.40.143,443,6,4325376,5,66,74,338,4430233,5
185.9.209.216,0,10.8.8.130,0,1,0,1,88,88,88,5767168,-1
10.8.8.246,58540,224.0.0.252,5355,17,4194304,2,64,64,128,4194304,6
10.8.8.138,56857,74.125.226.63,443,6,4325376,4,66,74,272,4456448,5
10.8.8.138,56552,208.117.251.116,443,6,4325376,2,66,66,132,4325376,5
10.8.0.14,53246,74.125.29.189,443,6,4325376,398,66,516,53533,8814921,0
10.8.8.246,51308,224.0.0.252,5355,17,4194304,2,64,64,128,4194304,6
207.241.224.2,80,10.8.8.130,55779,6,4325376,9,66,1374,5209,37930780,0
10.8.0.10,45372,91.189.89.22,443,6,4325376,12,66,263,1375,7509333,0
173.194.123.15,443,10.8.0.10,35357,6,4325376,9,66,1404,4863,35411285,0
10.8.0.6,40273,65.55.223.38,40018,17,5111808,6,78,78,468,5111808,6
10.8.8.130,43099,239.255.255.250,1900,17,11403264,2,174,175,349,11436032,2
10.8.0.10,35780,69.171.255.36,3478,17,0,1,70,70,70,4587520,-1
74.125.226.59,443,10.8.8.138,43303,6,4325376,4,66,129,327,5357568,5
10.8.8.222,58245,224.0.0.252,5355,17,4194304,2,64,64,128,4194304,6
212.73.221.202,80,10.8.8.222,61141,6,3932160,17,60,1374,14995,57806607,5
10.8.8.246,64464,224.0.0.252,5355,17,4194304,2,64,64,128,4194304,6
10.8.8.138,59116,173.223.153.85,443,6,3932160,5,60,66,318,4168089,5
10.8.8.246,53843,224.0.0.252,5355,17,4194304,2,64,64,128,4194304,6
10.8.8.130,47702,207.241.237.128,80,6,4325376,989,66,289,70283,4657296,0
10.8.0.14,39082,173.194.123.4,443,6,4325376,18,66,1404,3965,14436124,0
68.180.110.66,12732,10.8.0.6,48558,6,4325376,12,66,158,957,5226496,6
208.117.251.116,443,10.8.8.138,56610,6,4325376,6038,66,1374,8258014,89631865,5
10.8.8.138,47056,204.236.238.164,1265,6,4325376,12,66,173,1190,6498986,2
4.53.160.75,123,10.8.8.134,35963,17,0,1,90,90,90,5898240,-1
10.8.0.10,42112,173.252.79.94,443,6,4325376,14,66,218,1560,7302582,6
80.197.118.21,63273,10.8.8.130,51413,17,0,1,361,361,361,23658496,-1
157.55.56.159,40005,10.8.8.134,15685,17,0,1,63,63,63,4128768,-1
108.20.79.218,33345,10.8.8.134,15685,17,4194304,4,64,64,256,4194304,2
173.194.67.16,465,10.8.8.234,37855,6,3932160,19,60,302,2131,7350379,0
10.8.0.10,37285,173.194.123.31,443,6,4325376,204,66,1404,16404,5269865,0
10.8.8.134,15685,103.247.83.122,58055,17,0,1,60,60,60,3932160,-1
10.8.8.134,15685,158.222.191.234,55045,17,4128768,19,62,1412,3146,10851381,6
64.4.23.143,40026,10.8.0.6,40273,17,4063232,2,62,62,124,4063232,6
10.8.0.14,51351,173.194.76.127,19305,17,10223616,196867,64,1218,30080588,10013671,3
81.183.147.63,54126,10.8.8.130,49539,17,0,1,68,68,68,4456448,-1
10.8.0.10,37067,69.171.255.36,3478,17,0,1,70,70,70,4587520,-1
10.8.8.130,48826,81.137.205.196,23528,6,4325376,15,66,133,1174,5129284,6
74.125.226.58,443,10.8.8.138,42284,6,3932160,11,60,231,893,5320331,5
64.4.23.155,40021,10.8.8.130,49539,17,3932160,4,60,60,240,3932160,2
10.8.8.130,49539,64.4.23.155,40021,17,30343168,4,463,463,1852,30343168,2
10.8.8.246,60138,224.0.0.252,5355,17,4194304,2,64,64,128,4194304,6
10.8.8.246,58376,224.0.0.252,5355,17,4194304,2,64,64,128,4194304,6
173.194.123.1,443,10.8.0.10,48962,6,4325376,2529,66,1404,384458,9962767,2
173.194.123.16,80,10.8.0.10,58040,6,4325376,19,66,1404,5426,18715701,0
10.8.8.130,49539,91.139.231.182,20369,17,0,1,60,60,60,3932160,-1
10.8.0.6,49574,178.168.63.248,35394,6,4325376,12,66,163,968,5286570,6
173.252.79.90,50015,10.8.0.10,39469,17,7733248,2,118,146,264,8650752,6
10.8.8.246,56625,224.0.0.252,5355,17,4194304,2,64,64,128,4194304,6
10.8.8.138,37288,204.236.238.164,1394,6,3932160,1834,60,1374,2500382,89348437,0
10.8.8.138,52719,74.125.226.40,443,6,4325376,18,66,328,1848,6728362,2
2.30.116.54,58139,10.8.8.178,43020,6,4325376,1115,66,968,183651,10794396,6
10.8.8.130,51413,84.29.113.247,9089,17,0,1,139,139,139,9109504,-1
74.125.226.37,443,10.8.8.138,54813,17,0,1,1392,1392,1392,91226112,-1
157.55.130.155,40007,10.8.0.6,40273,17,0,1,62,62,62,4063232,-1
10.8.8.138,56594,208.117.251.116,443,6,4325376,9,66,583,1272,9262421,5
173.194.123.97,443,10.8.0.6,39244,6,4325376,19,66,219,1793,6184528,0
10.8.8.138,44880,74.125.226.55,443,6,4325376,4,66,66,264,4325376,5
10.8.8.134,42234,157.56.53.50,12350,6,4325376,14,66,71,959,4489216,2
10.8.8.134,15685,111.94.244.248,23358,17,0,1,60,60,60,3932160,-1
74.125.226.8,443,10.8.0.14,50030,6,3932160,30,60,1404,7579,16556578,0
207.241.239.206,6969,10.8.8.130,56843,6,4325376,5,66,216,488,6396313,4
69.171.255.36,3478,10.8.0.10,36077,17,0,1,74,74,74,4849664,-1
10.8.0.14,58284,74.125.226.14,443,6,4325376,28,66,1404,7922,18542006,0
207.241.224.2,443,10.8.8.130,51280,6,3932160,44,60,1374,44574,66390946,5
10.8.8.130,49539,213.199.179.175,443,17,0,1,60,60,60,3932160,-1
10.8.0.6,55203,64.233.178.94,80,6,4325376,7,66,66,462,4325376,5
10.8.8.222,56442,224.0.0.252,5355,17,4194304,2,64,64,128,4194304,6
188.242.9.223,54139,10.8.8.130,49539,17,0,1,68,68,68,4456448,-1
10.8.0.6,40273,157.55.130.176,40016,17,0,1,80,80,80,5242880,-1
79.97.105.16,28759,10.8.8.134,15685,17,0,1,68,68,68,4456448,-1
10.8.0.14,39969,216.58.219.238,443,6,4325376,34,66,1404,11493,22153095,0
10.8.8.110,37435,64.233.184.16,465,6,4325376,15,66,583,2362,10319735,0
10.8.0.14,33024,216.58.219.237,443,6,4325376,13,66,583,1682,8479350,3
10.8.8.134,15685,119.105.188.250,57000,17,0,1,60,60,60,3932160,-1
213.199.179.152,40019,10.8.0.6,40273,17,4063232,2,62,62,124,4063232,6
204.2.134.163,123,10.8.8.222,13459,17,0,1,90,90,90,5898240,-1
178.160.141.88,44286,10.8.8.130,49539,17,0,1,68,68,68,4456448,-1
204.236.238.164,1985,10.8.8.138,37128,6,3932160,2222,60,1374,3041949,89719698,5
10.8.8.246,68,10.8.8.245,67,17,0,1,343,343,343,22478848,-1
173.194.67.16,465,10.8.8.234,37883,6,3932160,20,60,302,2197,7199129,0
10.8.0.10,18420,157.55.235.142,40029,17,0,1,83,83,83,5439488,-1
108.162.232.203,80,10.8.8.130,45952,6,3932160,5,60,1374,2652,34760294,0
10.8.0.6,40273,111.221.77.154,40023,17,0,1,79,79,79,5177344,-1
173.252.79.94,3478,10.8.0.10,37035,6,4325376,8,66,170,872,7143424,6
130.204.2.123,55721,10.8.8.134,15685,17,0,1,68,68,68,4456448,-1
10.8.8.134,15685,73.202.9.176,10845,17,0,1,60,60,60,3932160,-1
23.67.255.209,443,10.8.8.178,39272,6,4325376,9,66,119,647,4711310,0
74.96.114.104,0,10.8.8.134,0,1,0,1,88,88,88,5767168,-1
207.241.237.128,80,10.8.8.130,47684,6,3932160,252,60,1374,336359,87474696,5
157.55.235.170,40020,10.8.0.6,40273,17,4128768,7,63,63,441,4128768,6
10.8.8.130,51413,195.154.146.149,7654,17,9109504,2,139,139,278,9109504,4
95.62.106.124,0,10.8.0.6,0,1,4587520,21,70,70,1470,4587520,2
62.210.236.115,57789,10.8.8.130,51413,17,0,1,344,344,344,22544384,-1
173.223.153.85,80,10.8.8.138,42637,6,4325376,182,66,1374,236955,85324631,5
10.8.0.14,39188,173.194.123.4,443,6,4325376,24,66,1404,5241,14311424,0
10.8.8.138,33832,74.125.226.32,443,6,4325376,61,66,1374,16002,17191919,0
23.52.152.64,443,10.8.8.138,51252,6,4325376,4,66,119,317,5193728,5
173.194.123.11,443,10.8.0.10,56608,6,4325376,9,66,1404,4553,33153934,0
10.8.8.110,37419,64.233.184.16,465,6,4325376,16,66,583,2424,9928704,0
10.8.0.6,51801,74.125.226.175,443,6,4325376,4,66,66,264,4325376,5
173.194.67.16,465,10.8.8.234,37876,6,3932160,19,60,302,2131,7350379,0
10.8.8.178,51939,216.58.208.37,443,6,4325376,19,66,1374,4306,14852527,0
10.8.0.14,49999,74.125.226.8,443,6,4325376,16,66,1404,4085,16732160,0
10.8.8.222,61733,224.0.0.252,5355,17,4194304,2,64,64,128,4194304,6
10.8.8.130,34934,216.58.210.3,443,6,4325376,29,66,583,3506,7923076,0
10.8.8.222,51988,224.0.0.252,5355,17,4194304,2,64,64,128,4194304,6
10.8.8.222,57892,224.0.0.252,5355,17,4194304,2,64,64,128,4194304,6
91.189.89.106,80,10.8.0.10,36305,6,4325376,4,66,661,867,14204928,0
10.8.8.130,33843,207.241.227.212,80,6,4325376,1392,66,252,97333,4582482,0
10.8.8.130,49539,78.207.139.99,26936,17,0,1,60,60,60,3932160,-1
10.8.8.138,48419,192.0.77.2,443,6,3932160,3,60,60,180,3932160,0
10.8.0.14,39973,216.58.219.238,443,6,4325376,29,66,1404,9363,21159088,0
10.8.8.134,15685,118.19.21.208,5600,17,0,1,60,60,60,3932160,-1
10.8.8.138,33726,204.236.238.164,1900,6,4325376,129,66,231,9008,4576343,2
74.125.226.56,443,10.8.8.138,36034,17,22085632,3,74,1392,1803,39387136,5
216.58.210.14,443,10.8.8.130,45185,6,3932160,6,60,126,438,4784128,0
10.8.8.130,34575,157.56.198.10,80,6,4325376,6,66,1078,1416,15466496,0
10.8.0.10,43272,173.252.79.94,443,6,4325376,14,66,218,1560,7302582,6
10.8.8.222,57227,224.0.0.252,5355,17,4194304,2,64,64,128,4194304,6
207.241.227.212,80,10.8.8.130,33783,6,3932160,1213,60,1374,1652775,89296176,5
204.236.238.164,1528,10.8.8.138,55089,6,4325376,100,66,1374,10834,7100170,5
10.8.0.6,40273,157.55.130.152,40023,17,12320768,9,187,188,1688,12291640,6
209.148.205.41,80,10.8.8.138,57746,6,4325376,37,66,1374,41245,73054927,6
121.138.121.95,2257,10.8.8.134,15685,17,0,1,68,68,68,4456448,-1
10.8.8.130,38562,82.28.221.2,17920,6,4325376,124,66,164,11124,5879213,6
10.8.8.134,15685,175.206.71.235,5416,17,0,1,60,60,60,3932160,-1
24.102.232.252,17326,10.8.0.6,38342,6,4325376,81,66,1258,13471,10899203,0
10.8.8.178,49841,63.245.216.134,443,6,3932160,16,60,779,2285,9359360,0
10.8.8.246,51507,224.0.0.252,5355,17,4194304,2,64,64,128,4194304,6
207.241.224.2,443,10.8.8.130,51302,6,3932160,41,60,1374,42156,67383795,5
10.8.8.130,55918,207.241.224.2,80,6,4325376,6,66,263,601,6564522,0
157.56.192.53,443,10.8.8.130,52009,6,3932160,212,60,1374,84917,26250568,5
10.8.0.10,57321,69.171.255.36,3478,17,0,1,70,70,70,4587520,-1
74.125.226.46,443,10.8.8.138,44373,17,8716288,55,74,1392,72789,86732725,5
157.55.56.158,40002,10.8.0.6,40273,17,0,1,62,62,62,4063232,-1
10.8.8.130,49539,46.71.204.179,52798,17,3932160,5,60,60,300,3932160,2
173.194.208.94,443,10.8.0.14,55969,6,3932160,18,60,1404,5803,21128078,0
114.180.50.175,31443,10.8.8.134,15685,17,0,1,68,68,68,4456448,-1
10.8.8.130,59710,207.241.228.122,80,6,4325376,351,66,364,25512,4763402,0
111.221.74.31,40032,10.8.0.6,40273,17,0,1,62,62,62,4063232,-1
65.55.223.46,40002,10.8.0.6,40273,17,0,1,62,62,62,4063232,-1
216.58.219.229,443,10.8.0.10,35043,6,3932160,23,60,1404,6320,18008153,0
10.8.8.130,34936,216.58.210.3,443,6,4325376,14,66,583,1818,8510317,0
74.125.226.35,443,10.8.8.138,42040,17,10485760,8,159,1392,2736,22413312,5
109.209.186.130,58661,10.8.8.130,55569,6,4325376,19,66,175,1474,5084213,2
10.8.8.130,51299,207.241.224.2,443,6,4325376,30,66,330,2649,5786828,5
10.8.8.134,15685,120.146.189.202,55708,17,0,1,60,60,60,3932160,-1
10.8.0.10,39989,173.194.76.127,19302,17,4063232,292,62,62,18104,4063232,6
173.252.79.90,50015,10.8.0.10,60023,17,7733248,2,118,146,264,8650752,6
10.8.8.138,39094,74.125.226.33,443,17,5177344,17,79,1392,7335,28276856,5
91.190.218.40,33033,10.8.8.130,44559,6,3932160,9,60,346,887,6458936,2
10.8.8.246,54056,224.0.0.252,5355,17,4194304,2,64,64,128,4194304,6
207.241.227.212,80,10.8.8.130,33820,6,4325376,1213,66,1374,1654058,89365494,5
10.8.0.6,40273,213.199.179.168,40013,17,4915200,2,75,75,150,4915200,6
65.55.223.27,443,10.8.8.134,15685,17,0,1,68,68,68,4456448,-1
10.8.8.138,41951,74.125.226.47,443,17,5177344,4,79,1392,1921,31473664,5
73.202.9.176,10845,10.8.8.134,15685,17,0,1,68,68,68,4456448,-1
74.125.226.37,443,10.8.8.138,54064,6,4325376,11,66,216,1020,6076974,5
10.8.0.6,40273,65.55.223.48,40021,17,0,1,81,81,81,5308416,-1
10.8.8.130,44990,216.58.210.5,443,6,4325376,19,66,1374,3975,13710821,0
10.8.8.138,35969,107.22.243.234,443,6,4325376,4,66,74,272,4456448,5
173.194.123.8,443,10.8.0.14,34669,6,3932160,16,60,333,1899,7778304,0
10.8.8.134,15685,24.196.36.15,63443,17,4128768,4,63,63,252,4128768,2
204.236.238.164,21,10.8.8.138,51000,6,4325376,75,66,1374,15800,13806250,0
10.8.8.130,49539,111.221.74.27,40034,17,5636096,5,63,86,380,4980736,1
10.8.0.6,40273,111.221.74.38,40024,17,0,1,75,75,75,4915200,-1
10.8.8.130,44976,216.58.210.5,443,6,4325376,48,66,1374,7140,9748480,0
173.252.79.90,50015,10.8.0.10,37067,17,7733248,2,118,146,264,8650752,6
161.69.12.13,80,10.8.8.222,61110,6,3932160,3,60,62,182,3975850,0
64.4.23.162,40019,10.8.8.130,52118,6,8781824,56,66,1097,6790,7946240,5
207.241.237.128,80,10.8.8.130,47790,6,4325376,1615,66,1374,2205319,89490889,5
216.58.210.5,443,10.8.8.130,44992,6,3932160,18,60,987,2760,10048853,0
157.56.52.19,40014,10.8.0.6,40273,17,0,1,899,899,899,58916864,-1
216.58.210.35,443,10.8.8.178,59222,6,3932160,396,60,1374,523297,86603010,5
10.8.8.130,59756,207.241.228.122,80,6,4325376,247,66,277,17501,4643504,0
10.8.8.134,15685,151.63.12.247,56515,17,0,1,60,60,60,3932160,-1
10.8.0.10,34023,23.65.248.82,80,6,4325376,4,66,74,272,4456448,5
157.56.52.41,40025,10.8.0.6,40273,17,0,1,62,62,62,4063232,-1
63.245.216.134,443,10.8.8.110,46949,6,3932160,11,60,1266,3954,23557213,0
75.108.3.177,49178,10.8.8.134,47772,6,3932160,129,60,157,8694,4416821,6
10.8.0.10,35988,74.125.226.30,443,6,4325376,14,66,274,1419,6642541,0
10.8.8.246,65146,224.0.0.252,5355,17,4194304,2,64,64,128,4194304,6
10.8.8.138,60371,74.125.226.32,443,17,5177344,2,79,1392,1471,48201728,5
10.8.8.130,49539,178.24.179.187,43347,17,0,1,60,60,60,3932160,-1
69.171.255.36,3478,10.8.0.10,37067,17,0,1,74,74,74,4849664,-1
216.58.210.3,443,10.8.8.130,34925,6,3932160,13,60,212,1190,5999064,0
10.8.0.6,40273,157.56.52.21,40029,17,5242880,2,80,80,160,5242880,6
10.8.8.130,49539,157.55.56.153,40033,17,30343168,23,63,463,3995,11383318,6
10.8.0.10,42399,173.194.123.0,443,6,3932160,9,60,265,915,6662826,0
23.54.136.70,443,10.8.8.130,60796,6,4325376,14,66,1374,10656,49882258,0
10.8.8.130,51413,45.36.133.141,48075,17,0,1,139,139,139,9109504,-1
216.58.208.35,443,10.8.8.178,52209,6,3932160,13,60,212,1190,5999064,0
137.116.224.167,443,10.8.0.10,56876,6,4325376,10,66,1404,7840,51380224,0
124.148.212.80,38295,10.8.8.134,15685,17,0,1,68,68,68,4456448,-1
10.8.8.222,137,10.8.8.223,137,17,6029312,414,92,92,38088,6029312,6
23.9.123.27,80,10.8.8.138,46320,6,4325376,3,66,66,198,4325376,5
157.55.130.165,443,10.8.0.10,18420,17,0,1,68,68,68,4456448,-1
